School,Number of Students,Students Vaccinated
FAME PUBLIC CHARTER,109,95
LAZEAR CHARTER ACADEMY,40,36
YU MING CHARTER,52,47
AMELIA EARHART ELEMENTARY,128,125
BAY FARM,70,69
EDISON ELEMENTARY,70,69
FRANK OTIS ELEMENTARY,95,88
FRANKLIN ELEMENTARY,50,49
HENRY HAIGHT ELEMENTARY,98,95
MAYA LIN,73,66
NEA COMMUNITY LEARNING CENTER,48,45
RUBY BRIDGES ELEMENTARY,91,91
WILLIAM G. PADEN ELEMENTARY,73,71
CORNELL ELEMENTARY,84,54
MARIN ELEMENTARY,84,60
OCEAN VIEW ELEMENTARY,152,102
CRAGMONT ELEMENTARY,80,67
EMERSON ELEMENTARY,61,49
JEFFERSON ELEMENTARY,102,76
JOHN MUIR ELEMENTARY,58,49
MALCOLM X ELEMENTARY,127,117
OXFORD ELEMENTARY,40,33
ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,63,58
THOUSAND OAKS ELEMENTARY,63,58
WASHINGTON ELEMENTARY,74,61
CASTRO VALLEY ELEMENTARY,119,100
CHABOT ELEMENTARY,73,72
INDEPENDENT ELEMENTARY,115,114
JENSEN RANCH ELEMENTARY,68,66
MARSHALL ELEMENTARY,69,63
PALOMARES ELEMENTARY,20,19
PROCTOR ELEMENTARY,81,80
STANTON ELEMENTARY,92,90
VANNOY ELEMENTARY,57,53
DUBLIN ELEMENTARY,159,121
FREDERIKSEN ELEMENTARY,151,146
HAROLD WILLIAM KOLB,195,188
JAMES DOUGHERTY ELEMENTARY,188,173
JOHN GREEN ELEMENTARY,152,148
MURRAY ELEMENTARY,87,83
ANNA YATES ELEMENTARY,62,31
ARDENWOOD ELEMENTARY,160,151
