Entity,pop,Code,Year,"Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%) - Age Group:18+  years - Sex:Both sexes (%)"
Afghanistan,36373176,AFG,2016,19.7
Albania,2934363,ALB,2016,58.7
Algeria,42008054,DZA,2016,60.7
Andorra,,AND,2016,68.1
Angola,30774205,AGO,2016,23.9
Antigua and Barbuda,103050,ATG,2016,
Argentina,44688864,ARG,2016,63.4
Armenia,2934152,ARM,2016,-33.5
Australia,24772247,AUS,2016,67.2
Austria,8751820,AUT,2016,58.1
Azerbaijan,9923914,AZE,2016,53.5
Bahamas,399.285,BHS,2016,110.3
Bahrain,1566993,BHR,2016,64.4
Bangladesh,166368149,BGD,2016,19
Barbados,286388,BRB,2016,55.3
Belarus,9452113,BLR,2016,62.9
Belgium,11498519,BEL,2016,64.1
Belize,382444,BLZ,2016,51.8
Benin,11485674,BEN,2016,26.3
Bhutan,817054,BTN,2016,25.4
Bolivia,11215674,BOL,2016,53.2
Bosnia and Herzegovina,3503554,BIH,2016,56.4
Botswana,2333201,BWA,2016,38.4
Brazil,210867954,BRA,2016,56.9
Brunei,434076,BRN,2016,42.2
Bulgaria,7036848,BGR,2016,66.3
Burkina Faso,19751651,BFA,2016,20
Burundi,11216450,BDI,2016,19.3
Cambodia,16245729,KHM,2016,20.3
Cameroon,24678234,CMR,2016,29.7
Canada,36953765,CAN,2016,67.5
Central African Republic,4737423,CAF,2016,23.2
Chad,15353184,TCD,2016,19.5
Chile,18197209,CHL,2016,64.4
China,1415045928,CHN,2016,33.8
Colombia,49464683,COL,2016,58.6
Comoros,832347,COM,2016,24.8
Congo,5399895,COG,2016,28.1
Cook Islands,17411,COK,2016,83.9
Costa Rica,4953199,CRI,2016,61.5
Cote d'Ivoire,24905843,CIV,2016,28.7
Croatia,4164783,HRV,2016,64.3
Cuba,11489082,CUB,2016,62.2
Cyprus,1189085,CYP,2016,60.8
Czech Republic,10625250,CZE,2016,66.7
Denmark,5754356,DNK,2016,59.2
Djibouti,971408,DJI,2016,35.7
Dominica,74308,DMA,2016,60.7
Dominican Republic,10882996,DOM,2016,59.9
Ecuador,16863425,ECU,2016,54.9
Egypt,99375741,EGY,2016,61.9
El Salvador,6411558,SLV,2016,56.8
Equatorial Guinea,1313894,GNQ,2016,25.1
Eritrea,5187948,ERI,2016,19.2
Estonia,1306788,EST,2016,60.4
Ethiopia,107534882,ETH,2016,18.1
Fiji,912241,FJI,2016,63.4
Finland,5542517,FIN,2016,62.5
France,65233271,FRA,2016,62.9
Gabon,2067561,GAB,2016,36.9
Gambia,2163765,GMB,2016,27.9
Georgia,3907131,GEO,2016,57.2
Germany,82293457,DEU,2016,62.8
Ghana,29463643,GHA,2016,29.3
Greece,11142161,GRC,2016,67.1
Grenada,108339,GRD,2016,49.4
Guatemala,17245346,GTM,2016,51.4
Guinea,13052608,GIN,2016,23.8
Guinea-Bissau,1907268,GNB,2016,26.9
Guyana,782225,GUY,2016,47.5
Haiti,11112945,HTI,2016,51.1
Honduras,9417167,HND,2016,51.9
Hungary,9688847,HUN,2016,65.4
Iceland,337780,ISL,2016,61.5
India,1354051854,IND,2016,19.3
Indonesia,266794980,IDN,2016,28.3
Iran,82011735,IRN,2016,60.9
Iraq,39339753,IRQ,2016,59.8
Ireland,4803748,IRL,2016,63.6
Israel,8452841,ISR,2016,65.3
Italy,59290969,ITA,2016,64.1
Jamaica,2898677,JAM,2016,55
Japan,127185332,JPN,2016,29.4
Jordan,9903802,JOR,2016,66.5
Kazakhstan,18403860,KAZ,2016,53.9
Kenya,50950879,KEN,2016,22.6
Kiribati,118414,KIR,2016,78
Kuwait,4197128,KWT,2016,72.1
Kyrgyzstan,6132932,KGZ,2016,45.8
Laos,6961210,LAO,2016,22.6
Latvia,1929938,LVA,2016,61.7
Lebanon,6093509,LBN,2016,66.9
Lesotho,2263010,LSO,2016,33.2
Liberia,4853516,LBR,2016,27.8
Libya,6470956,LBY,2016,65.7
Lithuania,2876475,LTU,2016,62.9
Luxembourg,590321,LUX,2016,61.7
Madagascar,26262810,MDG,2016,21.1
Malawi,19164728,MWI,2016,20.1
Malaysia,32042458,MYS,2016,41.7
Maldives,444259,MDV,2016,28.5
Mali,19107706,MLI,2016,24.4
Malta,432089,MLT,2016,70
Marshall Islands,53167,MHL,2016,82.7
Mauritania,4540068,MRT,2016,31.5
Mauritius,1268315,MUS,2016,33.8
Mexico,130759074,MEX,2016,64.1
Micronesia (country),106227,FSM,2016,70.1
Moldova,4041065,MDA,2016,54.1
Mongolia,3121772,MNG,2016,53.9
Montenegro,629219,MNE,2016,62.3
Morocco,36191805,MAR,2016,59.5
Mozambique,30528673,MOZ,2016,23.1
Myanmar,53855735,MMR,2016,24.6
Namibia,2587801,NAM,2016,36.6
Nauru,11312,NRU,2016,87.9
Nepal,29624035,NPL,2016,19.6
Netherlands,17084459,NLD,2016,62.6
New Zealand,4749598,NZL,2016,68
Nicaragua,6284757,NIC,2016,54.8
Niger,22311375,NER,2016,19.7
Nigeria,195875237,NGA,2016,26
Niue,1624,NIU,2016,79.1
North Korea,25610672,PRK,2016,33.5
Norway,5353363,NOR,2016,61.7
Oman,4829946,OMN,2016,56
Pakistan,200813818,PAK,2016,26.2
Palau,21964,PLW,2016,84.4
Panama,4162618,PAN,2016,58.5
Papua New Guinea,8418346,PNG,2016,49.3
Paraguay,6896908,PRY,2016,50.9
Peru,32551815,PER,2016,56.3
Philippines,106512074,PHL,2016,26.1
Poland,38104832,POL,2016,62.4
Portugal,10291196,PRT,2016,62.3
Qatar,2694849,QAT,2016,70.3
Romania,19580634,ROU,2016,61.4
Russia,143964709,RUS,2016,61.1
Rwanda,12501156,RWA,2016,22
Saint Kitts and Nevis,55850,KNA,2016,52.7
Saint Lucia,179667,LCA,2016,48.3
Samoa,197695,WSM,2016,75.1
Sao Tome and Principe,208818,STP,2016,31.6
Saudi Arabia,33554343,SAU,2016,69
Senegal,16294270,SEN,2016,24.9
Serbia,8762027,SRB,2016,60.7
Seychelles,95235,SYC,2016,38.1
Sierra Leone,7719729,SLE,2016,24.9
Singapore,5791901,SGP,2016,33.6
Slovakia,5449816,SVK,2016,59.7
Slovenia,2081260,SVN,2016,60.7
