Country,Population,Percent Overweight,Number Overweight,Number Not Overweight,Diagnoses in Overweight People,Diagnoses in Not Overweight People,Total Diagnoses,Estimated Undiagnosed Diabetes,Percent of Population with Undiagnosed Diabetes
China,1415045928,33,466965156.24,948080771.76,338082773.11776,93859996.40424,431942769.522,172777107.8088,12.21
India,1354051854,19,257269852.26,1096782001.74,186263373.03623998,108581418.17226,294844791.20849997,117937916.48339999,8.709999999999999
United States,326766748,70,228736723.6,98030024.4,165605387.88639998,9704972.415600002,175310360.302,70124144.1208,21.46
Brazil,210867954,56,118086054.24000001,92781899.75999999,85494303.26976,9185408.07624,94679711.346,37871884.5384,17.96
Indonesia,266794980,28,74702594.4,192092385.6,54084678.3456,19017146.1744,73101824.52000001,29240729.808000006,10.96
Russia,143964709,61,87818472.49,56146236.510000005,63580574.08275999,5558477.41449,69139051.49724999,27655620.598899998,19.21
Mexico,130759074,64,83685807.36,47073266.64,60588524.528639995,4660253.39736,65248777.92599999,26099511.170399997,19.959999999999997
Pakistan,200813818,26,52211592.68,148602225.32,37801193.10032,14711620.30668,52512813.407,21005125.362800002,10.46
Nigeria,195875237,26,50927561.620000005,144947675.38,36871554.61288,14349819.86262,51221374.4755,20488549.790200002,10.46
Egypt,99375741,61,60619202.01,38756538.99,43888302.25524,3836897.3600100004,47725199.61525,19090079.8461,19.21
Turkey,81916871,66,54065134.86,27851736.14,39143157.63864,2757321.8778600004,41900479.5165,16760191.806600003,20.460000000000004
Germany,82293457,62,51021943.339999996,31271513.660000004,36939886.978159994,3095879.8523400007,40035766.83049999,16014306.732199997,19.459999999999997
Iran,82011735,60,49207041.0,32804694.0,35625897.684,3247664.7060000002,38873562.39,15549424.956,18.96
Bangladesh,166368149,19,31609948.31,134758200.69,22885602.57644,13341061.86831,36226664.444749996,14490665.7779,8.709999999999999
Japan,127185332,29,36883746.279999994,90301585.72,26703832.306719996,8939856.98628,35643689.293,14257475.7172,11.21
United Kingdom,66573504,67,44604247.68,21969256.32,32293475.32032,2174956.37568,34468431.696,13787372.678400002,20.710000000000004
France,65233271,62,40444628.02,24788642.979999997,29281910.68648,2454075.65502,31735986.3415,12694394.536600001,19.46
Italy,59290969,64,37946220.160000004,21344748.839999996,27473063.39584,2113130.1351599996,29586193.531,11834477.4124,19.96
Philippines,106512074,26,27693139.240000002,78818934.75999999,20049832.80976,7803074.541239999,27852907.351,11141162.9404,10.46
Spain,46397452,67,31086292.840000004,15311159.159999996,22506476.01616,1515804.7568399997,24022280.773,9608912.3092,20.71
South Africa,57398421,51,29273194.71,28125226.29,21193792.97004,2784397.40271,23978190.37275,9591276.1491,16.71
Colombia,49464683,58,28689516.139999997,20775166.860000003,20771209.685359996,2056741.5191400005,22827951.204499997,9131180.4818,18.459999999999997
Ethiopia,107534882,18,19356278.759999998,88178603.24000001,14013945.822239999,8729681.72076,22743627.542999998,9097451.017199999,8.459999999999999
Argentina,44688864,63,28153984.32,16534879.68,20383484.64768,1636953.08832,22020437.736,8808175.094400002,19.71
Thailand,69183173,34,23522278.82,45660894.18,17030129.865679998,4520428.52382,21550558.3895,8620223.355800001,12.46
Ukraine,44009214,61,26845620.54,17163593.46,19436229.27096,1699195.7525400002,21135425.0235,8454170.0094,19.21
Vietnam,96491146,18,17368406.28,79122739.72,12574726.14672,7833151.23228,20407877.379,8163150.9516,8.46
Algeria,42008054,60,25204832.4,16803221.6,18248298.657599997,1663518.9384000003,19911817.595999997,7964727.038399999,18.96
Canada,36953765,67,24759022.55,12194742.45,17925532.3262,1207279.50255,19132811.82875,7653124.7315,20.71
Poland,38104832,62,23624995.84,14479836.16,17104496.98816,1433503.77984,18538000.768,7415200.3072,19.46
Iraq,39339753,59,23210454.27,16129298.73,16804368.89148,1596800.5742700002,18401169.465749998,7360467.7863,18.709999999999997
Saudi Arabia,33554343,69,23152496.669999998,10401846.330000002,16762407.589079998,1029782.7866700003,17792190.375749998,7116876.1503,21.209999999999997
Morocco,36191805,59,21353164.95,14838640.05,15459691.423799999,1469025.36495,16928716.78875,6771486.715500001,18.71
