Country,Population,Percent Overweight
Afghanistan,36373176,19
Albania,2934363,58
Algeria,42008054,60
Angola,30774205,23
Argentina,44688864,63
Australia,24772247,67
Austria,8751820,58
Azerbaijan,9923914,53
Bahrain,1566993,64
Bangladesh,166368149,19
Barbados,286388,55
Belarus,9452113,62
Belgium,11498519,64
Belize,382444,51
Benin,11485674,26
Bhutan,817054,25
Bolivia,11215674,53
Bosnia and Herzegovina,3503554,56
Botswana,2333201,38
Brazil,210867954,56
Brunei,434076,42
Bulgaria,7036848,66
Burkina Faso,19751651,20
Burundi,11216450,19
Cambodia,16245729,20
Cameroon,24678234,29
Canada,36953765,67
Central African Republic,4737423,23
Chad,15353184,19
Chile,18197209,64
China,1415045928,33
Colombia,49464683,58
Comoros,832347,24
Congo,5399895,28
Cook Islands,17411,83
Costa Rica,4953199,61
Cote d'Ivoire,24905843,28
Croatia,4164783,64
Cuba,11489082,62
Cyprus,1189085,60
Czech Republic,10625250,66
Denmark,5754356,59
Djibouti,971408,35
Dominica,74308,60
Dominican Republic,10882996,59
Ecuador,16863425,54
Egypt,99375741,61
El Salvador,6411558,56
Equatorial Guinea,1313894,25
Eritrea,5187948,19
Estonia,1306788,60
Ethiopia,107534882,18
Fiji,912241,63
Finland,5542517,62
France,65233271,62
Gabon,2067561,36
Gambia,2163765,27
Georgia,3907131,57
Germany,82293457,62
Ghana,29463643,29
Greece,11142161,67
Grenada,108339,49
Guatemala,17245346,51
Guinea,13052608,23
Guinea-Bissau,1907268,26
Guyana,782225,47
Haiti,11112945,51
Honduras,9417167,51
Hungary,9688847,65
Iceland,337780,61
India,1354051854,19
Indonesia,266794980,28
Iran,82011735,60
Iraq,39339753,59
Ireland,4803748,63
Israel,8452841,65
Italy,59290969,64
Jamaica,2898677,55
Japan,127185332,29
Jordan,9903802,66
Kazakhstan,18403860,53
Kenya,50950879,22
Kiribati,118414,78
Kuwait,4197128,72
Kyrgyzstan,6132932,45
Laos,6961210,22
Latvia,1929938,61
Lebanon,6093509,66
Lesotho,2263010,33
Liberia,4853516,27
Libya,6470956,65
Lithuania,2876475,62
Luxembourg,590321,61
Madagascar,26262810,21
Malawi,19164728,20
Malaysia,32042458,41
Maldives,444259,28
Mali,19107706,24
Malta,432089,70
Marshall Islands,53167,82
Mauritania,4540068,31
Mauritius,1268315,33
Mexico,130759074,64
Micronesia (country),106227,70
Moldova,4041065,54
Mongolia,3121772,53
Montenegro,629219,62
Morocco,36191805,59
Mozambique,30528673,23
Myanmar,53855735,24
Namibia,2587801,36
Nauru,11312,87
Nepal,29624035,19
Netherlands,17084459,62
New Zealand,4749598,68
Nicaragua,6284757,54
Niger,22311375,19
Nigeria,195875237,26
Niue,1624,79
North Korea,25610672,33
Norway,5353363,61
Oman,4829946,56
Pakistan,200813818,26
Palau,21964,84
Panama,4162618,58
Papua New Guinea,8418346,49
Paraguay,6896908,50
Peru,32551815,56
Philippines,106512074,26
Poland,38104832,62
Portugal,10291196,62
Qatar,2694849,70
Romania,19580634,61
Russia,143964709,61
Rwanda,12501156,22
Saint Kitts and Nevis,55850,52
Saint Lucia,179667,48
Samoa,197695,75
Sao Tome and Principe,208818,31
Saudi Arabia,33554343,69
Senegal,16294270,24
Serbia,8762027,60
Seychelles,95235,38
Sierra Leone,7719729,24
Singapore,5791901,33
Slovakia,5449816,59
Slovenia,2081260,60
Solomon Islands,623281,51
Somalia,15181925,24
South Africa,57398421,51
South Korea,51164435,32
Spain,46397452,67
Sri Lanka,20950041,24
Sudan (former),41511526,25
Suriname,568301,59
Swaziland,1391385,33
Sweden,9982709,59
Switzerland,8544034,57
Syria,18284407,57
Tajikistan,9107211,41
Tanzania,59091392,24
Thailand,69183173,34
Timor,1324094,17
Togo,7990926,25
Tonga,109008,75
Trinidad and Tobago,1372598,48
Tunisia,11659174,62
Turkey,81916871,66
Turkmenistan,5851466,49
Tuvalu,11287,81
Uganda,44270563,19
Ukraine,44009214,61
United Arab Emirates,9541615,65
United Kingdom,66573504,67
United States,326766748,70
Uruguay,3469551,64
Uzbekistan,32364996,45
Vanuatu,282117,54
Venezuela,32381221,62
Vietnam,96491146,18
Yemen,28915284,42
Zambia,17609178,23
Zimbabwe,16913261,32
